content,score
ga usah spam iklan blok,1
Ok sangat penting untuk dilakukan,5
"kurir gojek gjls banget, ngebatalin pesenan pelanggan setelah pelanggan nunggu 1 jam🤬 coba beli lagi terus dibatalin lagi setelah satu jam. semoga rejeki sempit",1
sekut,5
mantapp,5
peta tidak akurat,5
"Mudah didapat, cepat dan murah",5
Good,5
"mines,ga bisa make nomor lama saya karna lupa pin, karna terakhir pakai di 2019",1
"^melisa jangan asal reply. saya komplain ""TITIK"" di aplikasi gojek bukan ""RUTE"". titik di aplikasi gojek berbeda dengan titik di google maps. tidak ada tombol bantuan untuk masalah ini. saya harus order dan melakukan pembayaran 2x karena masalah map di aplikasi gojek.",1
"mohon maaf sebesar² nya tolong dong driver nya masak kita yang di suruh cancel orang dia yang gak bisa,,alesan mau balek mangakaya kita di suru camcel lah dia gak mikir orang juga pulang kerja mau pulang aneh sih driver nya kurang proporsional",2
aplikasi penyiksa..bayar mahal ke ojol murah.pantes dicensel terus. gofud juga sama nunggu lama gonta ganti driver ditolak mulu teryata ongkirnya mahal keojol cuma 8 800 GILA....,1
"plis lahh gue nunggu 1,5 jam anjir nunggu driver doang terus belum lgi klo driver nunggu pesanan nya lama kek plis lah keburu kelaparan, gue pesen dari jam 18.51 harus nunggu dulu nyari driver eh pas menit akhir dapet driver harus nunggu lagi makanan di siapin, jam 21.15 baru di anterin, kak kebayang ga saya kelaperan kak? tolong ya contoh yg sebelah ketika 15 menit gadapet driver lgsg di batalin terus kita pesen ulang cari yg kemungkinan daerah nya bnyk driver nya jd kita gaush nunggu lg",1
"SAYA BARUSAN PESAN MINUMAN YANG BROWNSUGAR BOBA MILK , EH PAS NYAMPAI NYA GA ADA BOBA NYAA CUMA MINUMAN NYA AJA",1
mantap lah terbaik dari yg sejenisnya,5
banyak promo nya,5
"2 bintang ajaa,",2
oke,5
bagus,5
Jangan terlalu gede potongan nya.Kasihan driver,5
bismillah semoga manajemen dan driver go jek makin respon cepat,5
"kecewa sma apk ini, percuma saya melakukan pengaduan tapi CSnya ga cukup membantu masalah saya",1
semakin membaik pelayanan nya .. driver pun semakin ramah ..pertahankan,5
